,name,latitude,longitude,store_id
62,Clarksville Supercenter,35.4486832,-93.4604664,ecbf8559-f445-409b-b518-538e621850eb
63,Mena Supercenter,34.588589,-94.225872,382b8c6d-2cb6-4e4c-8550-37796b36fac1
64,Sullivan Supercenter,38.22075,-91.154792,ae72516f-ebc0-47ae-bc1e-d9f27d20c7f9
65,Festus Supercenter,38.211942,-90.387955,f03c801e-5f7b-47bc-9ef0-2715c4fa4810
66,Pittsburg Supercenter,37.433957,-94.702301,f6d19397-8206-47d0-92f1-1190ad79ca1e
67,Osceola Supercenter,35.6999918,-90.0126791,55e24b18-c41a-4bc9-b562-6354eb384183
68,West Memphis Supercenter,35.165456,-90.20001,9eddfd57-9837-4423-acee-81ee5411620f
69,Sapulpa Supercenter,35.986324,-96.135074,1eb02b39-f907-4877-81ee-753fcd5010ca
70,Pocahontas Supercenter,36.248722,-90.963337,9c427f7e-88cf-4e94-94e1-12700350c05e
71,Wagoner Supercenter,35.95667,-95.397539,68008313-1e3f-4283-a1f7-f769b29d4756
72,Pineville Supercenter,31.367011,-92.406583,68c91e9c-d05d-4f16-996c-e1e87efb39b9
73,Taylor Supercenter,30.598559,-97.418418,59df3ce4-a6dd-4b7e-a126-c3f3facc8569
74,Marshfield Supercenter,37.337928,-92.939632,590611f9-b8d8-4fdc-b105-71d8f71807b5
75,Columbia Supercenter,38.957069,-92.382341,380490ad-64e7-4618-b145-02ecb306549d
76,Joplin Supercenter,37.087131,-94.545908,8543643e-6cab-41a8-aafa-16c554d83eec
77,Berryville Supercenter,36.376273,-93.5870153,0323ceba-93f6-4882-bd68-b61ac9b7b0fe
78,Perryville Supercenter,37.705668,-89.896103,39a61153-01f8-4193-a677-e8df461cd88d
79,Magnolia Supercenter,33.276653,-93.212017,bab2c631-c7b6-46ca-b736-5723ce214a35
80,Stilwell Supercenter,35.798588,-94.623206,5a27096f-2ad9-4e62-a28a-c392d6448226
81,Benton Supercenter,34.577533,-92.580065,c24ecb72-9af4-4da4-92d9-a6400da95a30
82,Springfield Supercenter,37.248775,-93.313985,0c1b0d68-2051-4786-8510-767d9f139bcd
83,Minden Supercenter,32.6280728,-93.2511369,d5f56a12-3b4d-46d2-9850-f7478d77bae2
84,Mountain Grove Supercenter,37.150021,-92.259461,693b5006-fe2b-4c35-8859-f174b9c0b8a4
85,Aurora Supercenter,36.946462,-93.714993,5334f57b-f949-4767-899e-a3fa0e13d445
86,Camdenton Supercenter,38.025748,-92.722992,9a2e0176-7b5d-45ec-baa6-a8955316057e
87,Grove Supercenter,36.5764748,-94.7656055,3b5e7edc-30dd-4e47-9e7c-438dd3ef393d
88,Covington Supercenter,35.545844,-89.665294,ee868a13-433f-447d-9b02-adb7940058e8
89,Forrest City Supercenter,35.028039,-90.793582,1d52cb75-ab48-4e5b-a09a-40aeb7761a4d
90,Harrisonville Supercenter,38.666161,-94.369474,f42cdb47-b418-40e3-b22e-59d5253b0b1b
91,Millington Supercenter,35.357703,-89.897647,6522ef0f-4ce7-418f-8cf9-d960a69164ad
92,Desloge Supercenter,37.883896,-90.513307,788e017d-4884-4cdb-806d-6c57c250826e
93,Ripley Supercenter,35.760785,-89.543058,5f89aaff-52da-4576-b725-631613599549
94,Bastrop Supercenter,32.775799,-91.870221,60d81cd4-7faf-4153-bcda-a9d8ed5c6391
95,Union Supercenter,38.4344195,-90.9700946,ee9549c8-a40e-49a5-9760-c5a725c1a84c
96,Bentonville Supercenter,36.368151,-94.224959,fe820ee9-d353-4b0b-979a-3b8e5efe510a
97,Rolla Supercenter,37.937606,-91.779138,6fd7ca20-5cf5-4dab-9ae2-10bc2e363245
98,Stuttgart Supercenter,34.477048,-91.549074,7246c02c-d785-4704-a0eb-b15e80f52661
99,Shawnee Supercenter,35.386877,-96.921788,547cba36-c228-4e17-8e53-ff2ce052c048
100,Corinth Supercenter,34.910046,-88.502016,3176bb30-06d1-43ba-86d8-fd7ea1c6eeaf
101,Milan Supercenter,35.876197,-88.748089,1ab7278b-9fae-4da2-bb5b-9cfc4daebc08
102,Fulton Supercenter,36.51749,-88.900147,f385df7a-b958-4d99-aea0-799f713e1277
103,Guthrie Supercenter,35.862878,-97.42269,ed491423-0937-4233-b347-ac7244e8fd2f
104,Cameron Supercenter,39.758116,-94.231503,7cbf35cc-45d9-42a7-bec6-d017c3b80521
105,Winter Garden Supercenter,28.476488,-81.629452,39f4cc70-dfa1-4a05-ab30-6806b28c037a
106,Chanute Supercenter,37.65365,-95.450998,3993248f-e248-43cb-a870-58a224a827ef
107,Chickasha Supercenter,35.031027,-97.931081,2de9312f-7a74-4d0e-99df-bf0c5eb951a2
108,Starkville Supercenter,33.444519,-88.851436,c7234cf9-347d-466d-8598-7a160b813b27
109,Booneville Supercenter,34.677408,-88.56422,1447bf4b-bae5-4f2a-ad0e-d9b8e1237f34
110,West Point Supercenter,33.586655,-88.661913,f10933c5-860a-475e-b826-3e2e81352093
111,Amory Supercenter,33.968526,-88.457017,748c8db9-6cf5-44c6-bd5f-b17842da6909
112,Vivian Store,32.857781,-93.986591,5c03a2ab-cf3f-4423-9113-6bd0caefb056
113,Okmulgee Supercenter,35.605657,-95.964357,9336c5f8-ce9f-44d7-b075-516c26e7bacf
114,Batesville Supercenter,35.762696,-91.614278,028f2147-b263-4ce9-a8db-39422fbb7df3
115,Broken Bow Store,34.0223133,-94.7379574,86138c99-2cad-40d7-a938-a301989cb7e8
116,Martin Supercenter,36.355005,-88.883642,d8824b56-f9ea-43b1-85e4-08b2f0f15a35
117,Jackson Supercenter,37.362068,-89.634627,3ec04beb-25b1-45b1-a777-7f68d764fc8d
118,Humboldt Supercenter,35.840815,-88.911782,10a2cc5a-57b9-41bc-ae06-439ee29fb2f5
119,Little Rock Supercenter,34.667147,-92.377089,9b288975-c951-4825-90d1-f647c6ef7a14
120,Malvern Supercenter,34.3907358,-92.8327356,3df2b3ee-5c94-464c-8889-0e905be1d9a4
121,Jonesboro Supercenter,35.815748,-90.734426,58bdc86f-814f-4b39-80ff-057ddb9c0bc3
122,Fort Smith Supercenter,35.329141,-94.406562,dc351b09-3050-4b4d-bfda-dff59746791e
123,Little Rock Supercenter,34.72831,-92.397677,c0e0dae5-8f8d-45d0-ae69-7c9fd4c101b8
124,Muskogee Supercenter,35.772625,-95.373093,2a5a2f32-64fd-46ba-8b77-2fc0c8326d4b
125,Ardmore Supercenter,34.193239,-97.145321,f0879d10-efe9-4214-907e-44d1d9a6159d
126,Seminole Supercenter,35.248317,-96.654501,2f51c97a-e5cc-4d24-b20e-a9988643db9d
127,Kingfisher Supercenter,35.8287229,-97.9367127,6af7c78e-efdc-446d-b404-0af2ba8663b5
128,Mount Pleasant Supercenter,33.134578,-94.964667,dea632aa-33e5-46c9-a1e4-fd2d72513b58
129,Ashdown Supercenter,33.657167,-94.10924,ed7285a3-c637-4470-bf9d-bdba56217f4b
130,Elk City Supercenter,35.409307,-99.37645,42844d2d-4d99-48ee-b0d9-9b8e10a23823
131,Blackwell Store,36.810171,-97.297401,c70357cf-779d-424e-aa76-8591f09da49a
132,Chillicothe Supercenter,39.7765306,-93.55634,c6e815a0-85e5-42ac-9290-05fd4334e902
133,Springfield Supercenter,37.241729,-93.258694,872154f8-7c5d-4c69-a3c8-b4c35de882bb
134,Stillwater Supercenter,36.124523,-97.048223,8be32a23-1323-4108-ae07-e1a0ac77e691
135,Purcell Supercenter,34.987486,-97.370172,02bc2898-fecc-4d74-bfeb-75ee79fc463c
136,Fort Smith Supercenter,35.350111,-94.338702,7963e12c-4ba3-49b5-ac81-1bf8928ad60e
137,Fayetteville Supercenter,36.050008,-94.201133,75b1ff71-29ca-4b35-9967-a61a79af608a
138,Lufkin Supercenter,31.299557,-94.731474,a07b6d05-6afe-40c9-8f07-ec1cc9e59359
139,Gilmer Supercenter,32.747175,-94.93762,679fe9ee-7c7f-46c6-96d9-1820a0bd5b3d
140,Benton Supercenter,36.869615,-88.360427,41997a7e-6729-400a-821d-6b0fc41e10ad
141,Paris Supercenter,33.664699,-95.505897,727896ef-b45e-459f-a260-c807721b2a83
142,Woodward Supercenter,36.412341,-99.384178,c00689bb-23f3-456e-91ce-8d4b9e233603
143,Bowling Green Supercenter,39.330546,-91.181652,7d00b3d4-38e8-4077-8064-894fe8ea9e7d
144,Jonesboro Supercenter,32.227952,-92.705761,e621f227-1f2c-48b2-9eaa-e4377ee5dc1a
145,Denison Supercenter,33.759174,-96.587537,0d8867c8-70a1-471c-b383-0e0b147e443a
146,Mcalester Supercenter,34.9192022,-95.7404781,2dca0d61-85af-4943-bbe3-b7fce97c3174
147,De Soto Supercenter,38.150177,-90.574504,97ed055c-bd39-446c-98e0-c6f1c903585f
148,New Albany Supercenter,34.492946,-89.032578,894af873-bd0e-43c1-9cbe-cf58d5b863ee
149,Searcy Supercenter,35.247101,-91.687166,8ad23a70-d044-4ae4-83ee-f2894496abce
150,Abingdon Supercenter,36.714643,-81.927722,dbf2048c-bc11-40ee-aedb-35fd312a8f3b
151,Columbia Supercenter,38.954911,-92.296729,b23f0912-69c8-41e2-bad1-553277605aed
152,Anadarko Supercenter,35.060053,-98.262377,b5b91fee-d4e5-41f2-ac8c-35371c4768b3
153,Bonham Supercenter,33.596586,-96.194575,2f8d6c5a-d56a-47e7-8d0c-18eabcf8748e
154,Ash Flat Supercenter,36.241189,-91.596294,76287acf-c81a-4969-8e79-f298f4522fa3
155,Senatobia Supercenter,34.629368,-89.971894,70e9a47c-019b-4d82-ade5-c73c3e7a374c
