,name,state,latitude,longitude
119,Little Rock Supercenter,AR,34.667147,-92.377089
120,Malvern Supercenter,AR,34.3907358,-92.8327356
121,Jonesboro Supercenter,AR,35.815748,-90.734426
122,Fort Smith Supercenter,AR,35.329141,-94.406562
123,Little Rock Supercenter,AR,34.72831,-92.397677
124,Muskogee Supercenter,OK,35.772625,-95.373093
125,Ardmore Supercenter,OK,34.193239,-97.145321
126,Seminole Supercenter,OK,35.248317,-96.654501
127,Kingfisher Supercenter,OK,35.8287229,-97.9367127
128,Mount Pleasant Supercenter,TX,33.134578,-94.964667
129,Ashdown Supercenter,AR,33.657167,-94.10924
130,Elk City Supercenter,OK,35.409307,-99.37645
131,Blackwell Store,OK,36.810171,-97.297401
132,Chillicothe Supercenter,MO,39.7765306,-93.55634
133,Springfield Supercenter,MO,37.241729,-93.258694
134,Stillwater Supercenter,OK,36.124523,-97.048223
135,Purcell Supercenter,OK,34.987486,-97.370172
136,Fort Smith Supercenter,AR,35.350111,-94.338702
137,Fayetteville Supercenter,AR,36.050008,-94.201133
138,Lufkin Supercenter,TX,31.299557,-94.731474
139,Gilmer Supercenter,TX,32.747175,-94.93762
140,Benton Supercenter,KY,36.869615,-88.360427
141,Paris Supercenter,TX,33.664699,-95.505897
142,Woodward Supercenter,OK,36.412341,-99.384178
143,Bowling Green Supercenter,MO,39.330546,-91.181652
144,Jonesboro Supercenter,LA,32.227952,-92.705761
145,Denison Supercenter,TX,33.759174,-96.587537
146,Mcalester Supercenter,OK,34.9192022,-95.7404781
147,De Soto Supercenter,MO,38.150177,-90.574504
148,New Albany Supercenter,MS,34.492946,-89.032578
149,Searcy Supercenter,AR,35.247101,-91.687166
150,Abingdon Supercenter,VA,36.714643,-81.927722
151,Columbia Supercenter,MO,38.954911,-92.296729
152,Anadarko Supercenter,OK,35.060053,-98.262377
153,Bonham Supercenter,TX,33.596586,-96.194575
154,Ash Flat Supercenter,AR,36.241189,-91.596294
155,Senatobia Supercenter,MS,34.629368,-89.971894
156,Huntingdon Supercenter,TN,35.997828,-88.43735
157,Nacogdoches Supercenter,TX,31.650027,-94.652353
158,Pontotoc Supercenter,MS,34.285602,-89.021349
159,Henderson Supercenter,TX,32.130652,-94.802126
160,Houston Supercenter,MO,37.313756,-91.962661
161,Owasso Supercenter,OK,36.295227,-95.837899
162,Natchitoches Supercenter,LA,31.750245,-93.066686
163,Crossett Supercenter,AR,33.136229,-91.941957
164,Lonoke Supercenter,AR,34.805224,-91.894037
165,Camden Supercenter,AR,33.567239,-92.836856
166,Potosi Supercenter,MO,37.92381,-90.771606
167,Washington Supercenter,MO,38.5404591,-90.9952384
168,Collierville Supercenter,TN,35.048344,-89.68099
169,Cocoa Supercenter,FL,28.395378,-80.753116
170,Ripley Store,MS,34.72373,-88.950897
171,Paris Supercenter,TN,36.281103,-88.307919
172,Alva Supercenter,OK,36.79952,-98.645026
173,Springfield Supercenter,MO,37.180349,-93.352393
174,Greenville Supercenter,MS,33.3678514,-91.0438728
175,New Boston Supercenter,TX,33.470693,-94.403621
176,Gainesville Supercenter,TX,33.645646,-97.13596
177,Blue Springs Supercenter,MO,39.024151,-94.25503
178,Jacksonville Supercenter,TX,31.951409,-95.266334
179,Louisville Supercenter,MS,33.122255,-89.08271
180,El Dorado Supercenter,KS,37.814622,-96.892174
181,Cape Girardeau Supercenter,MO,37.30124,-89.585833
182,Kirksville Supercenter,MO,40.216711,-92.579522
